D1,AED,USD,05/11/2017 10:10,400
D2,USD,GBP,12/12/2016 09:10,430
D3,AED,USD,03/11/2017 10:10,50
D4,USD,GBP,12/12/2016 11:20,780
D5,AED,USD,05/11/2017 03:10,400
D6,AED,JPY,08/08/2017 10:10,620
D7,AUD,BSD,08/08/2017 10:10,120
D8,AUD,BSD,08/08/2017 10:10,495
D9,ANG,INR,02/02/2017 10:10,725
D10,ANG,INR,06/06/2015 08:10,50
D11,KPW,NOK,08/08/2017 10:10,295
D12,ZAR,SEK,02/02/2017 10:10,495
D13,LKR,INR,07/08/2017 10:10,95
D14,AUD,BSD,09/08/2017 10:10,495
D15,CHF,SYP,08/08/2017 10:10,35
D16,AED,USD,05/11/2017 10:10,400
D17,USD,GBP,12/12/2016 09:10,430
D18,AED,USD,03/11/2017 10:10,50
D19,USD,GBP,12/12/2016 11:20,780
D20,AED,USD,05/11/2017 03:10,400
D21,AED,JPY,08/08/2017 10:10,620
D22,AUD,BSD,08/08/2017 10:10,120
D23,AUD,BSD,08/08/2017 10:10,495
D24,ANG,INR,02/02/2017 10:10,725
D25,ANG,INR,06/06/2015 08:10,50
D26,INR,NOK,08/08/2017 10:10,295
D27,ZAR,SEK,02/02/2017 10:10,495
D28,LKR,INR,07/08/2017 10:10,95
D29,AUD,BSD,09/08/2017 10:10,495
D30,CHF,SYP,08/08/2017 10:10,404
D31,AED,USD,05/11/2017 10:10,400
D32,USD,GBP,12/12/2016 09:10,430
D33,AED,USD,03/11/2017 10:10,50
D34,USD,GBP,12/12/2016 11:20,780
D35,AED,USD,05/11/2017 03:10,400
D36,AED,JPY,08/08/2017 10:10,620
D37,AUD,BSD,08/08/2017 10:10,120
D38,AUD,BSD,08/08/2017 10:10,495
D39,ANG,INR,02/02/2017 10:10,725
D40,ANG,INR,06/06/2015 08:10,50
D41,KPW,NOK,08/08/2017 10:10,295
D42,ZAR,SEK,02/02/2017 10:10,495
D43,LKR,INR,07/08/2017 10:10,95
D44,AUD,BSD,09/08/2017 10:10,495
D45,CHF,SYP,08/08/2017 10:10,35
D46,AED,USD,05/11/2017 10:10,400
D47,USD,GBP,12/12/2016 09:10,430
D48,AED,USD,03/11/2017 10:10,50
D49,USD,GBP,12/12/2016 11:20,780
D50,AED,USD,05/11/2017 03:10,400
D51,AED,JPY,08/08/2017 10:10,620
D52,AUD,BSD,08/08/2017 10:10,120
D53,AUD,BSD,08/08/2017 10:10,495
